date,minute_end,symbol,last_trade_price
20260204,091600,NIFTY26FEBFUT,2.57522e+06
20260204,091600,NIFTY2621025550CE,26215
20260204,091600,NIFTY2621025600CE,23205
20260204,091600,NIFTY2621025650CE,20300
20260204,091600,NIFTY2621025700CE,17675
20260204,091600,NIFTY2621025750CE,15300
20260204,091600,NIFTY2621025800CE,13205
20260204,091600,NIFTY2621025850CE,11340
20260204,091600,NIFTY2621025900CE,9645
20260204,091600,NIFTY2621025950CE,8245
20260204,091600,NIFTY2621026000CE,7000
20260204,091600,NIFTY2621026050CE,5860
20260204,091600,NIFTY2621025550PE,12400
20260204,091600,NIFTY2621025600PE,14285
20260204,091600,NIFTY2621025650PE,16405
20260204,091600,NIFTY2621025700PE,18785
20260204,091600,NIFTY2621025750PE,21495
20260204,091600,NIFTY2621025800PE,24300
20260204,091600,NIFTY2621025850PE,27435
20260204,091600,NIFTY2621025900PE,30785
20260204,091600,NIFTY2621025950PE,34280
20260204,091600,NIFTY2621026000PE,38120
20260204,091600,NIFTY2621026050PE,42000
20260204,091700,NIFTY26FEBFUT,2.57631e+06
20260204,091700,NIFTY2621025550CE,27360
20260204,091700,NIFTY2621025600CE,24150
20260204,091700,NIFTY2621025650CE,21260
20260204,091700,NIFTY2621025700CE,18530
20260204,091700,NIFTY2621025750CE,16045
20260204,091700,NIFTY2621025800CE,13860
20260204,091700,NIFTY2621025850CE,11925
20260204,091700,NIFTY2621025900CE,10170
20260204,091700,NIFTY2621025950CE,8685
20260204,091700,NIFTY2621026000CE,7375
20260204,091700,NIFTY2621026050CE,6245
20260204,091700,NIFTY2621025550PE,11615
20260204,091700,NIFTY2621025600PE,13440
20260204,091700,NIFTY2621025650PE,15450
20260204,091700,NIFTY2621025700PE,17755
20260204,091700,NIFTY2621025750PE,20315
20260204,091700,NIFTY2621025800PE,23055
20260204,091700,NIFTY2621025850PE,26140
20260204,091700,NIFTY2621025900PE,29375
20260204,091700,NIFTY2621025950PE,32930
20260204,091700,NIFTY2621026000PE,36630
20260204,091700,NIFTY2621026050PE,40510
20260204,091800,NIFTY26FEBFUT,2.57949e+06
20260204,091800,NIFTY2621025550CE,29460
20260204,091800,NIFTY2621025600CE,26070
20260204,091800,NIFTY2621025650CE,23015
20260204,091800,NIFTY2621025700CE,20205
20260204,091800,NIFTY2621025750CE,17620
20260204,091800,NIFTY2621025800CE,15255
20260204,091800,NIFTY2621025850CE,13170
20260204,091800,NIFTY2621025900CE,11285
20260204,091800,NIFTY2621025950CE,9665
20260204,091800,NIFTY2621026000CE,8240
20260204,091800,NIFTY2621026050CE,6990
20260204,091800,NIFTY2621025550PE,11050
20260204,091800,NIFTY2621025600PE,12755
20260204,091800,NIFTY2621025650PE,14675
20260204,091800,NIFTY2621025700PE,16850
20260204,091800,NIFTY2621025750PE,19245
20260204,091800,NIFTY2621025800PE,21915
20260204,091800,NIFTY2621025850PE,24750
20260204,091800,NIFTY2621025900PE,27825
20260204,091800,NIFTY2621025950PE,31180
20260204,091800,NIFTY2621026000PE,34675
20260204,091800,NIFTY2621026050PE,38435
20260204,091900,NIFTY26FEBFUT,2.58e+06
20260204,091900,NIFTY2621025550CE,30365
20260204,091900,NIFTY2621025600CE,27030
20260204,091900,NIFTY2621025650CE,23950
20260204,091900,NIFTY2621025700CE,21040
20260204,091900,NIFTY2621025750CE,18360
20260204,091900,NIFTY2621025800CE,15985
20260204,091900,NIFTY2621025850CE,13795
20260204,091900,NIFTY2621025900CE,11820
20260204,091900,NIFTY2621025950CE,10130
20260204,091900,NIFTY2621026000CE,8635
20260204,091900,NIFTY2621026050CE,7300
20260204,091900,NIFTY2621025550PE,10805
20260204,091900,NIFTY2621025600PE,12450
20260204,091900,NIFTY2621025650PE,14285
20260204,091900,NIFTY2621025700PE,16360
20260204,091900,NIFTY2621025750PE,18705
20260204,091900,NIFTY2621025800PE,21310
20260204,091900,NIFTY2621025850PE,24115
20260204,091900,NIFTY2621025900PE,27215
20260204,091900,NIFTY2621025950PE,30570
20260204,091900,NIFTY2621026000PE,34010
20260204,091900,NIFTY2621026050PE,37760
20260204,092000,NIFTY26FEBFUT,2.578e+06
20260204,092000,NIFTY2621025550CE,28560
20260204,092000,NIFTY2621025600CE,25355
20260204,092000,NIFTY2621025650CE,22335
20260204,092000,NIFTY2621025700CE,19500
20260204,092000,NIFTY2621025750CE,16950
20260204,092000,NIFTY2621025800CE,14660
20260204,092000,NIFTY2621025850CE,12620
20260204,092000,NIFTY2621025900CE,10790
20260204,092000,NIFTY2621025950CE,9190
20260204,092000,NIFTY2621026000CE,7815
20260204,092000,NIFTY2621026050CE,6590
20260204,092000,NIFTY2621025550PE,11295
20260204,092000,NIFTY2621025600PE,13015
20260204,092000,NIFTY2621025650PE,14960
20260204,092000,NIFTY2621025700PE,17175
20260204,092000,NIFTY2621025750PE,19585
20260204,092000,NIFTY2621025800PE,22315
20260204,092000,NIFTY2621025850PE,25190
20260204,092000,NIFTY2621025900PE,28350
20260204,092000,NIFTY2621025950PE,31900
20260204,092000,NIFTY2621026000PE,35500
20260204,092000,NIFTY2621026050PE,39030
20260204,092100,NIFTY26FEBFUT,2.57919e+06
20260204,092100,NIFTY2621025550CE,29445
20260204,092100,NIFTY2621025600CE,26080
20260204,092100,NIFTY2621025650CE,23010
20260204,092100,NIFTY2621025700CE,20145
20260204,092100,NIFTY2621025750CE,17545
20260204,092100,NIFTY2621025800CE,15190
20260204,092100,NIFTY2621025850CE,13035
20260204,092100,NIFTY2621025900CE,11180
20260204,092100,NIFTY2621025950CE,9550
20260204,092100,NIFTY2621026000CE,8140
20260204,092100,NIFTY2621026050CE,6880
20260204,092100,NIFTY2621025550PE,10885
20260204,092100,NIFTY2621025600PE,12560
20260204,092100,NIFTY2621025650PE,14465
20260204,092100,NIFTY2621025700PE,16645
20260204,092100,NIFTY2621025750PE,18985
20260204,092100,NIFTY2621025800PE,21640
20260204,092100,NIFTY2621025850PE,24490
20260204,092100,NIFTY2621025900PE,27610
20260204,092100,NIFTY2621025950PE,30775
20260204,092100,NIFTY2621026000PE,34330
20260204,092100,NIFTY2621026050PE,38055
20260204,092200,NIFTY26FEBFUT,2.57751e+06
20260204,092200,NIFTY2621025550CE,28320
20260204,092200,NIFTY2621025600CE,25065
20260204,092200,NIFTY2621025650CE,22110
20260204,092200,NIFTY2621025700CE,19280
20260204,092200,NIFTY2621025750CE,16740
20260204,092200,NIFTY2621025800CE,14455
20260204,092200,NIFTY2621025850CE,12415
20260204,092200,NIFTY2621025900CE,10625
20260204,092200,NIFTY2621025950CE,9070
20260204,092200,NIFTY2621026000CE,7695
20260204,092200,NIFTY2621026050CE,6500
20260204,092200,NIFTY2621025550PE,11295
20260204,092200,NIFTY2621025600PE,13035
20260204,092200,NIFTY2621025650PE,14990
20260204,092200,NIFTY2621025700PE,17200
20260204,092200,NIFTY2621025750PE,19695
20260204,092200,NIFTY2621025800PE,22425
20260204,092200,NIFTY2621025850PE,25350
20260204,092200,NIFTY2621025900PE,28495
20260204,092200,NIFTY2621025950PE,31905
20260204,092200,NIFTY2621026000PE,35600
20260204,092200,NIFTY2621026050PE,38975
20260204,092300,NIFTY26FEBFUT,2.5796e+06
20260204,092300,NIFTY2621025550CE,29910
20260204,092300,NIFTY2621025600CE,26565
20260204,092300,NIFTY2621025650CE,23450
20260204,092300,NIFTY2621025700CE,20535
20260204,092300,NIFTY2621025750CE,17850
20260204,092300,NIFTY2621025800CE,15465
20260204,092300,NIFTY2621025850CE,13320
20260204,092300,NIFTY2621025900CE,11475
20260204,092300,NIFTY2621025950CE,9775
20260204,092300,NIFTY2621026000CE,8315
20260204,092300,NIFTY2621026050CE,7035
20260204,092300,NIFTY2621025550PE,10580
20260204,092300,NIFTY2621025600PE,12215
20260204,092300,NIFTY2621025650PE,14055
20260204,092300,NIFTY2621025700PE,16170
20260204,092300,NIFTY2621025750PE,18530
20260204,092300,NIFTY2621025800PE,21175
20260204,092300,NIFTY2621025850PE,23935
20260204,092300,NIFTY2621025900PE,27090
20260204,092300,NIFTY2621025950PE,30480
20260204,092300,NIFTY2621026000PE,33980
20260204,092300,NIFTY2621026050PE,38000
20260204,092400,NIFTY26FEBFUT,2.5807e+06
20260204,092400,NIFTY2621025550CE,30570
20260204,092400,NIFTY2621025600CE,27095
20260204,092400,NIFTY2621025650CE,23940
20260204,092400,NIFTY2621025700CE,20970
20260204,092400,NIFTY2621025750CE,18270
20260204,092400,NIFTY2621025800CE,15865
20260204,092400,NIFTY2621025850CE,13665
20260204,092400,NIFTY2621025900CE,11645
20260204,092400,NIFTY2621025950CE,9965
20260204,092400,NIFTY2621026000CE,8510
20260204,092400,NIFTY2621026050CE,7190
20260204,092400,NIFTY2621025550PE,10045
20260204,092400,NIFTY2621025600PE,11640
20260204,092400,NIFTY2621025650PE,13430
20260204,092400,NIFTY2621025700PE,15485
20260204,092400,NIFTY2621025750PE,17730
20260204,092400,NIFTY2621025800PE,20350
20260204,092400,NIFTY2621025850PE,23150
20260204,092400,NIFTY2621025900PE,26130
20260204,092400,NIFTY2621025950PE,29375
20260204,092400,NIFTY2621026000PE,33000
20260204,092400,NIFTY2621026050PE,36500
20260204,092500,NIFTY26FEBFUT,2.581e+06
20260204,092500,NIFTY2621025550CE,30700
