date,minute_end,symbol,last_trade_price
20260205,091600,NIFTY26FEBFUT,2.57854e+06
20260205,091600,NIFTY2621025600CE,23115
20260205,091600,NIFTY2621025650CE,19995
20260205,091600,NIFTY2621025700CE,17140
20260205,091600,NIFTY2621025750CE,14535
20260205,091600,NIFTY2621025800CE,12285
20260205,091600,NIFTY2621025850CE,10275
20260205,091600,NIFTY2621025900CE,8545
20260205,091600,NIFTY2621025950CE,7070
20260205,091600,NIFTY2621026000CE,5810
20260205,091600,NIFTY2621026050CE,4720
20260205,091600,NIFTY2621026100CE,3820
20260205,091600,NIFTY2621025600PE,9865
20260205,091600,NIFTY2621025650PE,11730
20260205,091600,NIFTY2621025700PE,13885
20260205,091600,NIFTY2621025750PE,16275
20260205,091600,NIFTY2621025800PE,18970
20260205,091600,NIFTY2621025850PE,21995
20260205,091600,NIFTY2621025900PE,25210
20260205,091600,NIFTY2621025950PE,28610
20260205,091600,NIFTY2621026000PE,32350
20260205,091600,NIFTY2621026050PE,36510
20260205,091600,NIFTY2621026100PE,40255
20260205,091700,NIFTY26FEBFUT,2.57897e+06
20260205,091700,NIFTY2621025600CE,22570
20260205,091700,NIFTY2621025650CE,19445
20260205,091700,NIFTY2621025700CE,16590
20260205,091700,NIFTY2621025750CE,13980
20260205,091700,NIFTY2621025800CE,11755
20260205,091700,NIFTY2621025850CE,9805
20260205,091700,NIFTY2621025900CE,8140
20260205,091700,NIFTY2621025950CE,6735
20260205,091700,NIFTY2621026000CE,5505
20260205,091700,NIFTY2621026050CE,4490
20260205,091700,NIFTY2621026100CE,3625
20260205,091700,NIFTY2621025600PE,9735
20260205,091700,NIFTY2621025650PE,11575
20260205,091700,NIFTY2621025700PE,13720
20260205,091700,NIFTY2621025750PE,16160
20260205,091700,NIFTY2621025800PE,18915
20260205,091700,NIFTY2621025850PE,21940
20260205,091700,NIFTY2621025900PE,25290
20260205,091700,NIFTY2621025950PE,28865
20260205,091700,NIFTY2621026000PE,32665
20260205,091700,NIFTY2621026050PE,36430
20260205,091700,NIFTY2621026100PE,40415
20260205,091800,NIFTY26FEBFUT,2.58038e+06
20260205,091800,NIFTY2621025600CE,23510
20260205,091800,NIFTY2621025650CE,20250
20260205,091800,NIFTY2621025700CE,17360
20260205,091800,NIFTY2621025750CE,14670
20260205,091800,NIFTY2621025800CE,12345
20260205,091800,NIFTY2621025850CE,10315
20260205,091800,NIFTY2621025900CE,8545
20260205,091800,NIFTY2621025950CE,7070
20260205,091800,NIFTY2621026000CE,5805
20260205,091800,NIFTY2621026050CE,4735
20260205,091800,NIFTY2621026100CE,3840
20260205,091800,NIFTY2621025600PE,9195
20260205,091800,NIFTY2621025650PE,10950
20260205,091800,NIFTY2621025700PE,13035
20260205,091800,NIFTY2621025750PE,15370
20260205,091800,NIFTY2621025800PE,18025
20260205,091800,NIFTY2621025850PE,20945
20260205,091800,NIFTY2621025900PE,24230
20260205,091800,NIFTY2621025950PE,27760
20260205,091800,NIFTY2621026000PE,31500
20260205,091800,NIFTY2621026050PE,35260
20260205,091800,NIFTY2621026100PE,39500
20260205,091900,NIFTY26FEBFUT,2.58064e+06
20260205,091900,NIFTY2621025600CE,23895
20260205,091900,NIFTY2621025650CE,20570
20260205,091900,NIFTY2621025700CE,17585
20260205,091900,NIFTY2621025750CE,14870
